Marca temporal,Tu rango de edad ,  ¿Qué tan informado te consideras sobre cómo funcionan realmente los métodos anticonceptivos y su tasa de fallo estadística?  ,  ¿Qué porcentaje de los embarazos actuales en parejas que usan anticonceptivos crees que son producto de fallos en el método?  ,"En tu opinión, ¿cuál es la razón principal por la que una mujer decide abortar? ",  ¿Qué métodos anticonceptivos consideras que son 100% efectivos?  ,  ¿Crees que el aborto es un método anticonceptivo?  ,"Si un hombre y una mujer tienen relaciones sexuales sin protección, ¿quién consideras que tiene mayor responsabilidad de evitar un embarazo no deseado?  ",¿Apoyarías que se eduque obligatoriamente a los hombres sobre su responsabilidad en la prevención de embarazos y salud reproductiva?  ,¿Cuál es el número promedio de abortos que cree que tiene una mujer en su vida?
21/5/2026 19:11:14,25-30,5,Más del 30%,Irresponsabilidad,DIU,No,Mujer,Sí,1
21/5/2026 19:11:23,18-24,4,5-15%,Situaciones socioeconómicas,DIU,No,Mujer,Sí,1
21/5/2026 19:13:54,18-24,3,Menos del 5%,Irresponsabilidad,Implanon,No,Mujer,Sí,1
21/5/2026 19:15:19,25-30,3,Menos del 5%,Situaciones socioeconómicas,DIU,No,Mujer,Sí,3
21/5/2026 19:16:17,25-30,4,15-30%,Fallo de anticonceptivos,DIU,No,Mujer,Sí,1
21/5/2026 19:19:38,25-30,3,5-15%,Situaciones socioeconómicas,Condon,No,Mujer,Sí,1
21/5/2026 19:21:45,18-24,4,15-30%,Irresponsabilidad,DIU,No,Mujer,Sí,1
21/5/2026 19:22:40,18-24,2,15-30%,Fallo de anticonceptivos,Pastillas anticonceptivas,Sí,Mujer,No,1
21/5/2026 19:28:36,25-30,4,Más del 30%,Violación/incesto,Condon,No,Hombre,Sí,3
21/5/2026 19:29:25,25-30,3,Menos del 5%,Violación/incesto,DIU,No,Mujer,Sí,1
21/5/2026 19:34:20,18-24,2,15-30%,Situaciones socioeconómicas,DIU,No,Hombre,Sí,1
21/5/2026 19:41:47,18-24,1,Menos del 5%,Situaciones socioeconómicas,Pastillas anticonceptivas,Sí,Mujer,Sí,3
21/5/2026 19:43:30,25-30,5,5-15%,Situaciones socioeconómicas,Pastillas anticonceptivas,No,Hombre,Sí,1
21/5/2026 19:51:39,25-30,3,5-15%,Irresponsabilidad,DIU,No,Hombre,Sí,1
21/5/2026 20:06:57,18-24,3,15-30%,Situaciones socioeconómicas,Implanon,No,Hombre,Sí,3
21/5/2026 20:07:28,31-40,4,Menos del 5%,Situaciones socioeconómicas,Implanon,No,Hombre,Sí,1
21/5/2026 20:09:50,18-24,3,Menos del 5%,Situaciones socioeconómicas,Condon,No,Mujer,Sí,1
21/5/2026 20:10:33,25-30,4,Más del 30%,Situaciones socioeconómicas,Condon,No,Hombre,Sí,1
21/5/2026 20:20:57,25-30,1,5-15%,Situaciones socioeconómicas,Condon,No,Mujer,Sí,3
21/5/2026 20:24:01,25-30,4,Menos del 5%,Situaciones socioeconómicas,DIU,No,Hombre,Sí,1
21/5/2026 20:24:48,18-24,4,15-30%,Irresponsabilidad,Pastillas anticonceptivas,No,Hombre,Sí,3
21/5/2026 20:30:34,25-30,5,Menos del 5%,Situaciones socioeconómicas,Condon,No,Hombre,Sí,3
21/5/2026 20:42:09,18-24,5,Menos del 5%,Situaciones socioeconómicas,DIU,No,Hombre,No,3
21/5/2026 20:46:07,18-24,5,5-15%,Fallo de anticonceptivos,Implanon,No,Mujer,Sí,1
21/5/2026 20:58:07,18-24,4,5-15%,Situaciones socioeconómicas,DIU,No,Mujer,Sí,3
21/5/2026 21:05:24,25-30,3,Más del 30%,Violación/incesto,DIU,No,Hombre,Sí,1
21/5/2026 21:18:05,18-24,4,15-30%,Situaciones socioeconómicas,DIU,No,Hombre,Sí,3
21/5/2026 21:43:51,18-24,3,5-15%,Situaciones socioeconómicas,Condon,No,Hombre,Sí,1
21/5/2026 21:46:14,31-40,3,15-30%,Violación/incesto,Pastillas anticonceptivas,No,Mujer,Sí,1
21/5/2026 22:27:29,18-24,3,5-15%,Violación/incesto,DIU,No,Mujer,Sí,1
21/5/2026 22:47:51,18-24,5,Menos del 5%,Situaciones socioeconómicas,Implanon,Sí,Hombre,Sí,3
21/5/2026 23:06:11,25-30,3,15-30%,Situaciones socioeconómicas,DIU,Sí,Hombre,Sí,3
21/5/2026 23:22:21,25-30,1,Más del 30%,Situaciones socioeconómicas,Condon,No,Mujer,Sí,1
21/5/2026 23:40:42,18-24,3,Menos del 5%,Situaciones socioeconómicas,Condon,No,Mujer,Sí,3
22/5/2026 0:02:52,25-30,3,15-30%,Irresponsabilidad,Implanon,No,Hombre,Sí,1
